门店名,消费笔数
泉州新天城市广场分店,17
北京科技财富中心店,21
绍兴柯桥万国中心店,54
天津中北新城市广场店,52
广州汉溪时代二店,35
虹桥国际商务广场店,111
深圳世纪汇分店,76
十尚坊店,138
南京虹桥新城市广场店,107
台州天台祥生店,77
温州瑞安新湖广场店,11
长春栖乐荟购物中心店,26
北京百盛店,59
天津正融科技大厦店,52
杭州西投云漫里店,108
深圳深业东岭分店,69
上海涞坊路店,102
南京乐基广场店,154
扬州弘阳广场店,73
青岛万象城分店,74
北京房山北关西路咖啡店,17
南京马台街99号店,94
苏州欢乐颂店,173
悠方店,136
桐乡雅道店,86
恒汇大厦店,112
广州广粤天地店,70
珠海乐世界店,55
绍兴钱清星隆城,70
杭州三深国际中心店,68
南京华采天地5F店,56
灵石路店,111
广州江湾阳光城分店,49
杭州萧山宝盛宾馆店,111
淮海东路店,115
合肥正大广场店,14
温州欧洲城店,88
北京西单大悦城二店,41
成都凤凰里水街店,15
长宁来福士T3店,62
绍兴金帝银泰店,108
天津滨海国际机场1店,52
北京龙湖西宸广场,65
苏州昆山张浦海尚广场,146
世界广场店,85
广州雄峰城店,22
淄博银泰城咖啡店,24
北京建外现代城店,122
无锡宜乐园店,95
江门台山昌大昌广场店,55
福州马尾名城中心分店,45
珠海富华里店,73
南京六合欢乐港店,82
诺宝中心店,85
台州三门心湖广场店,125
北京中关村大街第三店,21
佛山碧桂园店,60
宁波余姚舜大店,110
烟台永旺梦乐城店,55
中山坦洲优越城门店,118
杭州临平西子国际店,65
南京雨润国际广场店,103
深圳宝安南路分店,56
合肥滨湖爱琴海购物公园,41
上海宝山文渊楼店,83
深圳金光华店,98
苏州张家港中骏世界城店,29
南昌红谷滩天虹店,32
苏州平江MALL店,175
万科泊寓,67
南京建邺万达百货店,89
西安环普产业园店,21
武汉光谷天地店,40
惠州西湖丽日店,27
上海华漕丰尚国际广场,195
北京合生汇2店,85
北京石景山金融街中心,35
绵阳南郊机场店,15
杭州保利若比邻店,71
苏州新光天地1F店,121
苏州津西新天地店,39
嘉兴嘉善西塘南门店,29
荆门万达广场店,18
湖州仁皇山生活广场,168
苏州昆山汇金财富广场店,70
芜湖星悦广场店,49
莆田金鼎广场分店,17
北京汇龙森,8
杭州西溪印象城店,106
绍兴万达店,69
赣州万象城店,27
北京远大路金源燕莎店,128
长沙润和国际广场店,46
沈阳优乐桃源里店,20
西安龙湖香醍天街店,28
南京紫荆广场店,110
深圳龙华壹方城1楼店,91
天津仁恒广场咖啡店,28
成都市中海右岸环宇坊店,51
厦门软件园分店,65
武汉武胜凯德广场店,21
绍兴镜湖中新广场店,68
宁波雅戈尔大道店,37
宁波北仑富邦店,107
苏州御窑路店,89
重庆金源时代购物广场店,34
郑州建业总部港,25
嘉兴海盐吾悦广场,69
长治万达店,41
杭州蒲公英天地店,60
南昌华润万象城分店,63
扬州仪征宝能广场店,83
大连腾飞软件园店,24
天津滨海周大福中心店,75
杭州阿里西溪亲橙里店,68
三亚陵水海韵广场店,29
苏州金鸡湖店,112
苏州百购广场店,72
天津嘉利大厦店,29
常州曼哈顿广场店,81
通州富力星光里,25
天津东丽万达广场店,41
宁波诺丁汉大学店,88
无锡京东广场店,65
邢台世贸天街店,19
丹东万达广场店,58
北京北辰东路店,21
上海港汇广场B1店,88
成都卓锦曼购中心店,60
宁波水街店,69
南昌红谷滩万达店,39
上海南京东路时装公司店,80
场北路店,87
杭州景芳地铁站商业街店,63
深圳华联城市中心店,55
上海今潮8弄店,113
南宁古城梦之岛店,74
苏州太仓华发广场店,103
重庆江北茂业店,12
永和龙子湖时光里,16
东莞海德广场店,109
沈阳文艺路店,34
南宁百货文化宫店,19
西安旺座现代城店,24
临沂颐高上海街咖啡店,23
广州香柏广场店,109
湛江兴华广场店,22
苏州吴江万象汇店,116
昆明和谐世纪店,26
杭州阿里云谷园区1号楼,73
郑州楷林IFC店,56
东莞塘厦万科生活广场店,71
北京国华投资广场咖啡店,47
南京大世界店,37
绍兴人民医院店,95
广州保利中环店,44
宁波镇海红星爱琴海店,28
天津东丽湖万科广场店,42
东莞石龙汇星商业中心店,24
石岩汇邦广场店,40
惠南禹洲商业广场店,122
北京房山悦盛路店,39
西安群光广场店,17
杭州河坊街店,108
烟台万达咖啡店,29
赤峰市万达广场店,26
济南恒隆店,98
石家庄西美花街,18
南桥新都汇店,118
南京未来城店,86
佛山金沙洲万达广场分店,89
武汉光谷金融中心店,29
南京应天大街欧尚店,91
苏州中心6F店,87
广州番禺万达广场分店,96
南通印象城3F店,68
扬州茂业百货店,111
松原中东新天地购物公园,29
北京万柳华联Mall店,63
成都蒲江世纪坊店,16
衡阳大洋百货店,42
沈阳长青城,25
廊坊燕郊永旺梦乐城店,30
青岛诺德广场店,27
昆明七彩俊园分店,20
曲靖金都广场店,13
昆明机场5店国内到达,27
汕头金平万达广场分店,47
哈尔滨哈东万达广场店,8
舟山新城凯虹广场店,79
广州坑口广百店,62
广州番禺万博奥园店,50
上海绿洲中环中心店,101
绍兴上虞时代香格里拉店,116
武汉青年路环贸ICC店,37
湖州德清海洋城店,104
广州三元里卜蜂莲花店,41
昆明美辰百货店,18
北京秀水街店,31
泉州安溪宝龙广场分店,26
张家界泊富文化广场店,20
安庆吾悦广场店,27
杭州万融城店,103
中山喜来登店,27
上海吉宝绿地缤纷城店,61
北京宝钢大厦店,71
望月路店,159
天津塘沽金元宝金街店,122
惠州华贸天地1楼店,72
深圳星河二期分店,106
南通中南城店,117
南昌新力愉景湾店,29
东莞市沙田镇港口大道店,31
上海金山朱泾金龙新街店,104
福州万科烟台山分店,27
重庆晶郦馆店,30
世博源店,75
成都来福士店,53
抚顺万达店,29
天津国金中心写字楼店,72
汕头潮阳水门路分店,39
武汉四新万达广场,12
长沙华创国际广场店,30
上海康健广场店,175
天津和平路咖啡店,39
广州美林天地店,57
南京大厂美利广场店,61
长沙宁乡Coco城店,35
沈阳中兴店,42
北京房山政通南路店,22
南通海门文峰广场店,72
德阳万达店,15
大连星海大都会店,40
广州无限极广场,19
成都郫县佛罗伦萨小镇店,35
深圳益田村分店,78
新乡宝龙城市广场店,10
台州耀达百货店,74
长沙阳光100店,59
广州南站店,45
咸阳市袁家村店,9
东莞中心广场店,124
武汉世贸广场,100
北京亚运村华堂店,57
南阳摩根新田360店,51
梅川路店,105
衡阳万达广场店,39
深圳佳宁娜友谊广场店,47
北京东方东路二店,43
佛山月星环球港店,34
青岛融创茂店,41
深圳怡景中心城店,138
泉州东海泰禾广场店,40
重庆龙湖源著天街店,32
襄阳四季城,26
莆田正荣财富中心店,27
温州瑞安中润广场店,53
杭州博雅城店,39
深圳宇宏广场分店,60
福州群升东百分店,54
青岛胶州宝龙城市广场店,12
呼和浩特成吉思汗西街店,16
上海万科城花新园店,85
北京雍和大厦店,32
深圳源政创业大厦店,55
西安机场2店,76
台州温岭锦屏店,85
天津鲁能中心一店,152
上海龙川北路店,64
无锡荡口古镇店,72
天津峰汇广场店,27
青岛胶东机场国内安2店,6
成都市龙泉驿都汇店,72
襄阳万达广场店,41
海口国际免税城二层店,15
重庆沙坪坝店,145
北京百荣世贸商城店,30
南京澳林广场店,74
大连百年港湾店,22
武汉百联奥特莱斯店,54
佛山佛罗伦萨小镇店,62
莆田馨宜新天地分店,27
北京阜通东大街二店,13
嘉兴巴黎都市店,115
武汉宜家店,20
深圳南山智园A5栋店,98
无锡三阳百盛店,51
北京首都新机场3店,19
沈阳龙湖浑南天街店,22
天津第六田园商业广场店,53
创智店,126
南京Solo1913店,81
宁波学府一号店,96
宁波象山万达广场店,26
武汉新天地店,200
杭州滨江龙湖5F店,39
北京太古里南区NOW店,240
宁波镇海启迪科技园店,45
大连星海广场店,69
广州可逸江畔店,22
三亚亚龙湾壹号小镇分店,35
广州番禺天河城店,96
沈阳大悦城店,66
深圳宝安大仟里1店,88
人民广场地铁站,75
秦皇岛茂业中心店,36
成都泛悦城市广场店,32
龙岩京华中心分店,13
泉州大洋百货分店,42
无锡华润太湖店,106
昆明新迎新城门店,17
济宁建设路万达店,11
武汉永旺梦乐城金桥店,104
宁德万达广场分店,14
珠海天虹店,35
厦门汇腾天虹广场分店,45
重庆万州万达广场店,17
深圳香港大学深圳医院店,46
北京金码大厦店,133
重庆九街店,50
太仓点金商业广场店,51
天津水游城店,23
青岛黄岛佳世客店,52
昆明机场III店,49
南昌699文化创意园店,15
高埗振兴城店,37
北京望京万科时代中心店,25
成都鹏瑞利医疗中心店,22
长沙砂之船店,75
泉州百捷上悦城店,45
三亚阳光金融广场店,81
哈尔滨哈西红博咖啡店,30
昆明西城COHO店,26
衢州开化东方广场店,15
融创智谷,17
柳州步步高店,25
昆明海伦堡店,19
西安大悦城二店,11
未来科技城,32
武汉幸福里店,27
西安西咸吾悦广场店,29
莆田仙游中骏世界城分店,26
长春世纪鸿源店,16
广州百信广场2店,33
广州万达店,78
佛山怡海港店,24
肇庆四会吾悦广场店,21
北京金星西路咖啡店,32
漳州港中闽百汇分店,20
西宁新宁国芳百货,15
台州温岭银泰城店,52
宿迁泗洪吾悦广场,53
嘉兴月河店,72
武汉徐东新世界店,31
佛山爱琴海购物公园店,25
太原富力广场咖啡店,20
江门恩平锦江店,29
邢台天一城店,36
上海青湖路,66
成都龙湖三千集店,28
宁波儿童公园店,40
漳州宝龙广场分店,5
佛山金地珑悦店,45
江门市大槐服务区西区店,14
长春赛特奥特莱斯门店,12
佛山A32万科里店,63
长沙开福万达II店,40
天津滨江商厦店,10
苏州国际影视娱乐城店,56
太原华宇百花谷咖啡店,27
漳州龙海万科广场分店,11
深圳庐山酒店分店,65
宜春润达购物中心店,9
G60金华服务南区店,16
绍兴嵊州鹿山广场店,73
达州市升华广场店,7
仁和春天广场,28
珠海机场店,40
北京龙湖时代天街店,49
沧州华北商厦店,17
达州市仁和新城店,8
济宁运河城咖啡店,18
北京汉威国际广场1店,10
苏州吴江盛泽金银岛广场,26
深圳坪山益田门店,70
珠海卓凡中心店,42
佛山玫瑰园店,37
上海周浦海印又一城店,115
天津友谊路咖啡店,22
泉州石狮九二路分店,18
东莞常平市场路店,21
泸州步步高新天地店,30
河源万隆城店,12
海口西海岸星茂店,22
沈阳铁西兴隆大都汇分店,12
佛山西樵富盛广场店,16
肇庆益华国际广场店,26
深圳华侨城大峡谷店,30
廊坊固安尚品爱购咖啡店,17
六盘水万达广场,11
重医附一院,13
南充市保利Mall店,8
重庆开州融创假日购物广,11
徐州苏宁广场5F店,16
临沂滨河万达广场店,21
中山三乡缤纷汇店,29
仁寿万达广场,4
广州西湾和苑店,21
武汉经开永旺二店,24
沈阳桃仙机场店,18
朝阳万达广场店,10
南京禄口机场T1出发店,62
张家口太舞滑雪小镇店,28
苏州茉莉花假日店,79
中山兴中广场分店,50
苏州雅戈尔富宫店,29
重庆市天和里店,8
沈阳北站店,27
沧州吾悦广场,3
乌海万达广场店,13
重庆观音桥阳光新世纪店,14
兰州杉杉奥莱,6
滨州吾悦广场店,13
武汉仙桃银泰,8
阜新万达广场,25
烟台龙口博商购物广场店,4
保定茂业百货店,45
苏州永旺园区店,5
成都财富又一城店,47
深圳金地威新中心店,67
成都凯德天府店,77
深圳大鹏佳兆业广场店,40
深圳平安金融中心1F店,195
青岛胶东机场内安检1店,70
呼和浩特民族商场咖啡店,36
海伦中心店,193
宁波奉化万达广场店,64
杭州石函店,189
张江万科翡翠公园店,122
南京仁恒江湾城店,137
北京大兴泰禾店,26
南通中南百货店,78
锦延路店,119
百联临沂购物中心店,179
苏州斜塘老街店,114
美臣店,136
展想大厦店,133
长春宽城万达店,7
无锡宜兴八佰伴店,130
南京新城市广场店,303
温州温德姆酒店,72
江桥万达店,132
上海宝山日月光中心店,111
深圳嘉里中心店,144
丽园路店,148
南通万科广场店,45
杭州永旺梦乐城店,138
珠海华发新天地店,45
杭州501城市广场1F店,128
宝能中心分店,55
北京和平里东街,45
宁波钱湖天地店,102
成都凯德魅力城店,49
太原巴黎春天百货咖啡店,45
南京孵鹰大厦店,86
宁波建行大厦店,76
嘉兴海宁正翔店,87
贵港万达广场店,17
上海中信泰富3F店,177
北京凯德大峡谷店,53
武汉凯德1818二店,8
杭州金沙印象城店,118
温州新一医,118
金茂大厦店,121
北京东北旺西路第三店,48
北京曙光西里咖啡店,92
福州五四路分店,110
杭州拱墅万达店,83
北海宁春城分店,22
泉州晋江SM广场三楼店,26
外高桥店,53
北京理想国际大厦店,17
衡阳崇盛晶珠广场店,28
北京骏豪中央公园广场店,18
杭州灵隐解百店,114
苏州永旺梦乐城新区店,129
上海泽元广场店,124
青岛保利广场店,33
信息大厦店,185
广州保利中汇分店,38
殷高西路地铁站店,128
贵阳鸿通城店,26
广州环球都会广场店,65
五月花生活广场店,141
闵行颛桥万科,141
环球金融店,389
嘉定威隆大厦店,64
森兰美伦店,81
北京石榴中心店,83
杭州大华华领国际店,49
中山远洋城大信新都汇店,55
北京爱思开大厦店,20
金华万固广场店,63
顾村公园店,171
秦皇岛万达广场店,28
五矿广场,44
重庆万象城1店,54
华为新金桥路店,291
北京金宝汇店,41
上海智慧湾科创园店,148
北京悦茂购物中心,39
深圳凤凰路店,50
上海普陀绿地缤纷城店,100
合生财富广场店,92
深圳侨城街店,93
星游城店,139
厦门乐群广场分店,62
太原茂业天地店,44
Nike园区店,7
杭州天虹店,159
北京后沙峪国门智慧城店,54
上海西子国际中心,82
盐城建湖宝龙广场店,126
姚虹路店,95
苏州昆山巴黎春天店,58
无锡阳光广场店,146
杭州花园城店,119
理想汽车北京研发总部,25
武汉龙湖江宸天街店,21
杭州钱江世纪城山水时代,46
淮安楚州万达店,85
北京龙德广场二店,109
青岛颐和国际店,41
南京森林摩尔店,70
北京望京鹏景阁店,123
杭州下沙和达城店,74
万都店,121
杭州天寓店,135
厦门集美软件园三期分店,26
苏州北站店,39
沈阳浑南万达店,50
杭州临平银泰城B1店,59
南通海安万达广场店,88
临汾时光颂店,28
汇亚大厦店,77
上海传奇店,80
厦门国贸金融中心分店,55
舟山新城宝龙广场店,83
成都九方店,56
合肥世纪金源购物广场店,98
佛山万科金域中央店,49
宁波日湖中心店,47
杭州萧山瓜沥七彩小镇店,82
长沙星沙万象汇店,83
南京大洋店,122
海宁银泰城1号门店,55
无锡市民中心店,147
西安大唐西市店,64
上海松江恒都广场店,141
丽婴房大厦店,59
杭州望江府店,98
钦江路店,147
马鞍山金鹰天地店,57
嘉御庭店,152
北京恒通创新园,20
北海合浦万达广场店,87
广州粤财大厦店,31
天津印象城店,46
北京广华里店,54
绍兴柯桥天虹店,160
石景山银保园,26
上海佳纷天地店,101
浦项店,62
宁波欢乐海岸一号门店,85
北京东北旺西路咖啡店,14
南京金融城店,200
金虹桥国际中心店,111
宁波鄞州天旋巷店,110
天津生态城季景天地店,61
苏州胥口欢乐胥江广场店,64
无锡新吴新之城店,60
江场二路店,93
湛江吴川金沙广场店,16
太原万象城店,115
上海紫竹半岛店,43
外滩中心店,160
佛山顺德大信新都汇店,95
杭州浙商财富中心店,148
镇江八佰伴店,92
宁波镇海银泰城店,71
杭州迪凯银座店,133
苏州十全街店,115
湖州长兴浙北大厦店,50
宁波余姚伊顿国际店,212
金山万达店,182
广州番禺奥园广场店,43
北京丽泽龙湖店,54
上海临港上元路店,75
郑州百花里店,17
西安砂之船奥特莱斯店,75
永业公寓店,107
宁波IFC中央广场店,127
北京亿方大厦店,23
兆丰店,118
绍兴柯桥银泰店,98
广州万菱汇店,103
万嘉广场店,187
万象城1F店,170
苏州常熟方塔街店,68
浦东软件园店,123
苏州南天成路店,61
广州市二宫莲枫广场店,40
苏州相城天虹店,92
佛山顺德服务区西区店,18
成都太古里店,60
杭州三花国际店,140
南京熊猫大厦店,49
常州弘阳广场店,64
黄金城道店,168
上海紫竹紫叶广场店,60
杭州嘉悦广场店,150
南通文峰城市广场店,108
绍兴迎恩门店,63
湖州梅地亚广场店,98
金鹰店,178
广州嘉裕太阳城店,147
汕头澄海猛狮国际广场店,51
梅州万达分店,30
北京世东国际店,99
嘉定西云楼店,109
苏州星湖街店,195
杭州临平乐慧店,95
虹桥南丰城北楼B1店,137
天津津投广场店,22
新虹桥大厦店,70
控江旭辉MALL店,157
苏州昆山大渔商业广场店,226
和盈中心,48
泰州万达广场店,155
常州爱琴海奥莱店,80
嘉兴嘉善太平洋广场店,127
合肥包河万达2店,99
西安海璟民生店,36
上海汇金百货徐汇店,380
上海虹桥机场T2禁区店,273
古美文创街店,176
成都龙湖上城天街店,35
北京望京诚盈中心店,50
临沂万象汇店,60
广州黄埔中鼎荟店,43
杭州劝学荟店,113
东海店,163
上海大华锦绣优嘉店,88
溧阳上河城店,99
西安李家村万达店,46
城建大厦店,146
株洲苏宁广场店,61
苏州中润店,112
杭州西溪新座店,68
互联宝地店,148
银川金凤万达店,41
国康路店,110
宜山路店,143
宁波国华金融大厦店,68
茶陵北路店,132
上海文峰广场2店,67
湖州爱山广场店,84
苏州时尚舞台店,104
城隍珠宝店,109
长城大厦店,118
惠南世纪联华店,196
宁波宏泰广场店,78
长沙世纪金源店,65
深圳彩讯科技大厦店,77
深圳创智云城一期店,48
沈阳市府恒隆店,34
杭州大厦D座店,139
贵阳花溪万宜广场店,43
南通星光耀店,119
上海合生汇1F店,86
杭州丁桥龙湖店,74
东莞厚街万达广场店,53
大柏树店,125
南通万象城5F店,32
沈阳嘉里中心店,27
广州光明28广场店,33
沈阳万象生活城店,14
嘉兴八佰伴店,136
延安西路店,98
国金中心店,223
上海张江联想大厦店,125
均瑶店,125
深圳音乐厅店,220
南京建邺万达店,85
佛山中海环宇城店,55
天津图书大厦店,16
郑州尚座中心,40
青浦新尚生活广场店,87
青岛香港中路银座商厦,50
东航云锦天地店,126
重庆仁安里店,50
上海漕河泾科技绿洲四期,75
北京欣宁大街咖啡店,468
杭州东方电子商务园店,75
徐州新沂吾悦广场店,29
绍兴鲁迅故里店,54
宁德宝信城市广场店,25
重庆互联网产业园,19
宁波慈溪美华中心店,174
广州光明广场店,47
上海美兰湖风情街店,116
大连高新锦辉店,40
重庆时代天街Ⅱ店,60
厦门海沧天虹店,82
青岛大拇指广场分店,51
武汉江汉路中心百货店,8
舟山太平洋百货店,92
亿丰时代广场店,203
广州华发中央公园店,63
上海松江文汇路2店,89
上海祝桥天和广场,238
杭州超山奥特莱斯店,75
新世界店,50
上海浦东机场S2国内店,54
久金购物中心店,89
日月光办公楼店,144
绍兴诸暨缤谷唐韵店,129
杭州滨江儿保医院店,82
杭州市民中心店,137
杭州临平银泰城1F2F店,148
北京盈科中心第二咖啡店,16
苏州甪直万嘉生活广场店,108
武汉凯德西城店,24
大兴吉嘉港,34
合肥庐州天地店,18
扬州万达广场店,64
武汉汉商21世纪店,33
迪士尼PAB写字楼店,51
三亚海棠湾国际免税城店,83
珠海城市阳台店,15
长沙北辰大悦城店,71
杭州断桥店,136
上海松江同乐生活广场店,75
杭州余杭万科天空之城店,85
南昌央央春天店,22
金桥太茂店,74
南宁华润五象万象汇店,28
重庆市幸福广场N37店,55
重庆南坪协信星光广场店,34
南昌朝阳洲天虹购物中心,24
杭州嘉里中心4F店,99
杭州余杭万达广场店,83
惠州隆生广场店,33
上海光大安石虹桥中心店,146
上海凯欣豪园店,124
武汉金银潭永旺梦乐城店,80
深圳来福士广场店,173
金华浦江人民广场店,108
成都悠方购物中心店,69
长沙保利Mall店,50
南宁龙光世纪大厦店,26
重庆涪陵泽胜店,20
广州维多利广场店,150
北京蓝色港湾第二咖啡店,16
温州恒隆广场店,59
成都嘉信茂沙湾店,53
晋中杉杉奥特莱斯店,32
虹口龙之梦商场店,113
广州增城钧明欢乐世界店,65
重庆巴南旭辉城店,21
深圳平安金融中心3F店,87
深圳大梅沙奥特莱斯店,87
无锡滨湖万达百货店,53
咸阳国际财富中心店,59
嘉兴中关村店,186
广州百福广场店,103
厦门思明欢乐颂分店,70
西安立丰国际广场店,56
南京天迈广场店,116
日照万达广场店,34
贵阳世纪金源国贸店,11
96广场店,198
长沙湖南日报社店,28
重庆佛罗伦萨小镇,10
南翔祥腾广场店,64
温州美美时尚广场店,58
良乡熙悦龙湖,31
南京复地宴南都店,108
北京通州万达广场第一店,78
杭州千岛湖智谷大厦店,93
天津万象城2店,29
福建中路店,76
本溪万达广场星巴克店,29
龙湖虹桥天街1F店,120
桂林华润万象城店,57
成都七一广场店,32
杭州建德太平洋购物中心店,64
南京牛首山店,36
北京枫蓝国际中心店,72
上海外高桥山姆会员店,126
成都威斯顿店,19
上海临港创新晶体店,40
广州番禺雅居乐店,39
上海慧芝湖店,182
东莞松山湖佳纷天地店,56
盐城东台八佰伴店,54
北京怀柔万达店,62
无锡光华时代广场店,99
西安未央路王府井店,39
西宁大象城王府井,26
魏公村中科出版社,74
宁波中体Sports城,113
成都中海大厦店,27
广州立白中心店,33
天津海信店,70
贵阳汇金国际广场店,40
深圳福保长平大厦店,58
广州昌岗路江南坊店,38
杭州万科北宸之光店,115
杭州桐庐立山国际店,46
昆明金格奥特莱斯店,40
富都广场店,128
大众汽车总部店,105
盐城五洲国际店,100
广州保利叁悦广场店,48
虹桥天地三店,270
中山万民汇店,27
黄石下陆万达,31
沈阳太原街万达店,15
老介福店,166
洛阳南昌路王府井店,53
成都麓山国际店,83
同济晶度店,104
成都南熙里分店,84
上海松江泰晤士小镇2店,79
周庄双桥店,13
上海阿里中心店,59
中山益华店,49
泰州体育文创中心店,45
杭州文广店,46
北京西单汉光百货商场店,26
G15苏通大桥服务区东区,52
苏州昆山千灯大润发店,137
中山星汇大信店,23
茂名凯德广场分店,18
长沙运达中央广场店,33
宁波杉井奥特莱斯店,89
上海近铁城市广场南座店,98
无锡安镇翠屏汇店,78
星宝广场店,129
苏州震泽新乐城店,78
曹路宝龙店,108
外滩店,83
城市概念园店,77
海泰时代店,57
云玺潮汇店,20
南昌恒茂梦时代广场店,35
天津大岛广场店,101
西安南大街中大国际店,32
厦门高崎机场T4分店,57
成都钻石广场店,43
武汉经开永旺梦乐城店,43
重庆沙坪坝印象汇店,38
西安华清广场店,35
成都市华熙528店,37
上海精锐教育大厦店,106
西安兰岛广场店,62
芜湖侨鸿国际广场店,36
深圳龙城广场店,102
合肥万科广场店,62
温州龙湾万达1号门店,45
广州美林天地二期店,72
虹桥机场T1到达,59
厦门虎屿北路分店,56
深圳沙井卓悦时光店,39
宁波和邦大厦店,80
福州仓山万达店,51
杭州欧美金融城T8号楼,45
淮安盱眙苏宁广场店,67
东莞虎门天虹店,83
四平路店,131
沈阳市财富中心店,24
合肥百大CBD店,63
上海南翔祥腾广场1F店,56
长沙中海环宇城店,39
重庆沙坪坝万达店,14
锦州万达广场店,25
中山石岐大信新都汇店,55
淮南市新城吾悦店,73
北京腾达大厦咖啡店,76
杭州宋都阳光国际店,91
大连锦辉书香园分店,175
广州花城汇3区分店,121
中远两湾城店,165
无锡宜兴丁蜀宝龙店,72
星汇广场店,73
广州合生广场店,56
广州增城东汇城分店,37
鼎好,30
昆山现代广场店,43
徐州淮海环球港店,49
共康路店,98
沈阳前海环球汇店,16
杭州黄龙世贸中心店,69
金华义乌汇商天地店,100
汕头万象城店,88
北京望京凯德咖啡店,40
福州宝龙广场店,31
重庆国华金融中心店,72
深圳宝安壹方城2F店,112
北京北辰东路第三咖啡店,13
天津陆家嘴购物中心店,51
北京望京店,108
上海向阳九百商业广场店,90
武汉融科天城店,58
武汉江夏奥特莱斯店,33
通州爱琴海,38
天津友谊精品广场店,16
广州官洲中心店,60
长沙平和堂店,36
东莞星河传说店,116
海口宜欣城店,84
长沙富兴国际金融中心店,65
广州东山锦轩店,134
昆明旭东K9中心店,14
西安华润万象城店,35
北京天使大厦店,11
沧州任丘悦都汇咖啡店,36
昆明新世界百货店,18
重庆龙湖金沙天街B馆店,18
成都双楠鹭岛店,55
宁波聚亿广场店,44
丽水青田临江东路店,22
深圳微软科通大厦店,56
昆明宜家门店,21
西安未央印象城,41
松江开元内街店,84
南京南站出发夹层店,103
恒邦CBD,24
长沙北辰凤凰海店,60
南京金象城店,44
光谷泛悦城,42
北京达美中心店,13
成都高新万科中心,12
上海静安华发中心店,77
常州文化宫站,64
苏州昆山吾悦广场店,72
长沙河西王府井购物店,60
南通启东碧桂园凤凰荟店,70
常州金坛八佰伴店,36
绍兴嵊州吾悦广场店,73
北京工体北路店,5
盘锦万达广场店,21
阜阳吾悦广场店,27
上海零号湾店,68
厦门集美乐海分店,36
宁波芝士公园店,117
盐城新世界百货店,46
南京状元楼店,17
武汉壹方购物中心店,132
哈尔滨乐松咖啡店,33
绵阳涪城万达,33
西安盛安广场店,42
佛山越秀悦汇天地店,63
东莞景湖时代城店,51
武汉汉街万达店,50
长沙友阿奥特莱斯店,48
杭州浙大城市学院店,38
盘锦水游城店,27
保定钟楼生活方式中心店,128
中暨大厦店,98
莆田涵江隆恒广场分店,34
北辰财富中心,11
南通如东文峰大世界店,171
青岛胶州利群购物广场店,25
南京京新广场店,105
肇庆端州三路星城广场店,26
海口仁恒里店,63
厦门厦大访客中心分店,57
济南印象城店,23
北京星悦生活广场,50
真光路友谊商店店,157
武汉世达广场,31
怀化万达门店,37
惠州惠阳太东高地分店,32
北京丰葆路店,46
常州龙城天街1楼店,101
青岛青岛延吉万达店,33
苏州张家港吾悦广场店,49
唐山吾悦广场店,15
武汉新唐万科广场店,21
无锡堰桥梦享城店,72
广州万科派店,82
长春环球购物广场店,22
武汉宜家2店,4
济南西站候车厅2层店,45
上海美谷美购广场店,99
南通启东文峰大世界店,57
百联东郊店,138
上海金山棠人Mall店,79
上海源深金融大厦店,82
上海虹桥协信中心店,90
廊坊万向城购物中心店,45
西安曲江银泰店,37
广州凯华国际店,63
舟山岱山新天地广场店,41
杭州龙坞茶镇店,67
金华义乌绣湖银泰店,64
内江市内江万达广场店,45
大华三路店,75
上海听悦路店,56
上海龙盛福新汇店,79
上海丰庄地铁站店,38
大同星茂汇购物中心店,45
重庆新世纪凯瑞商都店,11
济南西站2店,34
贵阳T3安检内,23
北京中关村1号店,40
金华义乌万达广场店,75
石家庄勒泰中心第一店,27
清远保利广场店,8
十堰万达店,19
黄石大冶中央商场店,15
北京王府井in88店,76
杭州西溪银泰城南门店,107
昆明七彩云南第一城店,26
宁波韩岭老街店,57
北京北清路永旺商城店,42
广州天誉花园店,56
松江开元北入口店,98
北京广渠门名敦道店,56
哈尔滨新锐汇咖啡店,25
宏嘉大厦店,103
嘉兴旭辉广场店,68
宜昌水悦城分店,26
淮安玖珑汇店,42
郴州友阿国际广场,25
湛江荣基广场店,24
北京财富中心三店,15
虹桥万科中心1F店,48
绍兴皋埠鲸银城,45
上海图书馆店,23
杭州东站西子国际店,47
西安凯德新地城,62
无锡万科运河外滩店,90
成都天府机场GTC,27
丽水金汇广场店,70
上海万科红生活广场,54
承德万达,9
合肥巢湖万达广场店,29
宁波亿彩购物中心店,40
杭州赛银国际广场店,56
温州万象城五楼店,72
苏州李公堤店,86
松江科技广场店,54
昆明西山万达广场店,21
南宁安吉万达广场分店,20
福州华润万象城店,38
广州远洋大厦店,23
珠海中央汇店,33
大理泰业国际广场店,21
佛山罗村金盛广场店,62
成都地铁天府广场店,23
北京嘉里中心第二咖啡店,34
台州黄岩吾悦广场店,64
常州龙城天街5F店,61
天润广场,83
贵阳观山湖玖福城门店,18
儋州夏日广场店,39
中山假日广场店,25
广州增城敏捷广场门店,17
珠海摩尔百货店,36
成都双楠人人乐店,37
深圳景田天然居分店,88
上海怀盛商业广场,63
北京哈德门广场咖啡店,25
东莞时尚岛店,33
廊坊市燕郊弘阳广场店,20
延安南门里,11
衡阳华新步步高广场店,48
南通兴东国际机场店,13
广州安华汇店,44
重庆长嘉汇店,36
万晟城,16
上海金山卫清西路店,126
镇江万达店,97
天津中豪世纪花园店,21
