门店名,消费笔数
深圳广电金融中心分店,135
杭州阿里巴巴西溪店,100
太仓万达广场店,129
北京复兴路咖啡店,23
佛山王府井购物中心店,41
嘉实生活广场店,72
成都市龙湖西宸天街店,81
吴中路店,51
深圳宝安海雅B1店,64
北京朗琴国际大厦咖啡店,149
宿迁宝龙城市广场店,60
广州市花都融创茂店,38
柳州柳南万达广场店,22
广州恒宝广场店,52
大连西安路罗斯福店,62
成都财富中心店,36
温州火车南站到达层店,40
G60长安服务北区店,59
上海召楼星天地店,149
宁波镇海万科1902店,114
广州新鸿基天汇广场1店,114
睿园店,121
北京西单北大街第二店,18
苏州中心3F店,107
深圳昇逸酒店分店,39
杭州塘栖古镇店,82
天津全运村店,38
武汉法国风情街店,43
苏州腾飞创新园店,62
广州天河信息港店,43
G60嘉兴服务南区店,43
苏州东沙湖邻里中心店,198
百联世纪购物中心B1店,105
遵义亨特国际分店,12
大连大都会分店,29
广州南站2店,56
上海松江平原街店,93
福州福清清昌大道分店,36
南京紫云智慧广场,84
长沙叮叮mall店,33
深圳湾生态园12栋店,79
威海路店,164
三亚蓝海华庭店,73
天津有巢公馆店,77
杭州正元智慧大厦店,33
北京望京国际研发园,22
黄石万达广场店,48
佛山市美的创新中心店,69
深圳高新区店,39
舟山翁浦公园店,50
福州长乐机场分店,119
长沙国金街店,27
成都青羊总部经济基地店,32
深圳深业中城店,70
深圳坂田天安云谷店,84
上海闵行星河湾店,109
武汉洪福添美店,27
北京市贯通大厦店,45
北京国贸第三咖啡店,45
沈阳中街新玛特店,33
宁波东门口站店,29
烟台大悦城咖啡店,37
宁波奉化华侨豪生酒店,66
真北华润万家,123
杭州下沙龙湖吾角天街店,47
沈阳中街恒隆店,13
泰州靖江文峰大世界店,60
远中风华店,125
北投科苑社区,39
北京CBD泰康,26
重庆泽科星泽汇店,29
扬州江都金鹰店,143
遵义珠海路国贸店,24
湖州万达广场店,83
南京弘阳购物中心店,74
三明万达广场分店,20
北京市财源国际中心店,86
上海徐汇绿地缤纷城B1,162
大连新玛特店,101
深圳坂田天安云谷3C店,69
宁波北仑环球东方港城店,91
无锡茂业亿百店,53
苏州鲜橙广场,102
永丰国际广场店,168
隆宇太阳城店,126
莘庄仲盛店,176
广州天河北龙口店,143
北京长楹龙湖天街3店,64
宁波华茂悦峰店,95
厦门高崎机场T3店,37
北京润枫水尚商街店,46
南宁南百朝阳北楼分店,11
杭州萧山大象国际中心店,126
盐城东台德润广场店,148
大连柏威年店,40
上海智慧坊,60
潍坊坊子泰华城店,32
淮安茂业时代广场,43
武康路店,112
宁波宁海泰悦城店,104
三明天元荟分店,26
金华义乌浙大第四医院店,55
扬州江都佳源广场店,63
南京华为研究所店,226
沈阳乐购店,19
南京溧水万达广场店,56
虹桥天地一店,86
上海前滩芋秋路店,55
上海东方纯一大厦店,166
深圳壹方天地人民路店,92
开元2店,31
台州临海耀达百货店,113
厦门百脑汇分店,36
五角场万达1F店,90
扬州珍园店,93
嘉定万科安亭新镇店,98
佛山南海桂平西路店,37
广州信华花园分店,75
郑州丹尼斯CBD一天地,48
无锡江阴霞客大统华店,24
佛山龙江盈信广场店,67
中山华发商都店,41
南平建阳悦城中心分店,27
成都高新欧尚店,13
广州从化时尚广场店,104
天津永旺梦乐城滨海店,92
杭州师范大学仓前校区店,33
宁波江北前洋电商园店,67
合肥滨湖银泰城店,55
北京福庭大厦店,75
绍兴柯桥宝龙广场店,89
湖州凤凰时代广场店,115
鞍山新玛特分店,22
重庆西部奥特莱斯店,28
成都新街里店,51
上海安亭财富广场店,82
武汉群光二店,28
西安首创国际城店,79
长泰广场店,248
南通如东香江印象广场店,41
北京市北京坊店,25
济南欧亚大观乐活城店,44
福州东百中心分店,81
宁波南塘老街店,37
中山小榄百汇时代广场店,35
北京建外SOHO二店,35
宁波宁铸中心店,66
上海久隆国际大厦,95
长春机场安检外店,69
瑞虹店,107
平福路店,104
南京华润万象天地,73
苏州太仓丽景嘉园店,80
温州乐清江南里店,67
北京东方东路外交公寓店,36
武汉绿地汉口中心店,66
蚌埠天洋国际店,26
株洲路店,146
武汉红星美凯龙卓刀泉商,25
青岛金狮广场店,92
西安金桥店,49
北京湖景东路咖啡店,23
昆明俊发中心店,10
南京江宁龙湾天街店,106
苏州常熟江南美好荟店,112
九江联盛快乐城,47
深圳罗湖书城店,36
南京江北虹悦城,85
成都环球中心店,22
宣城八佰伴店,25
青岛家佳源城阳分店,45
万象城办公楼店,142
北京酒仙桥路咖啡店,64
广州交易广场店,17
杨浦百联滨江购物中心店,106
苏州高新文体中心店,94
上海金桥中宝盛达店,55
襄阳鼓楼店,16
台州天台太平洋店,112
上海中海瀛台店,86
宁波江北万科云汇中心店,52
长沙麓南广场店,52
G15高速沙溪服务区北,51
世纪大都会B1店,167
重庆大融城店,38
广州亚洲金融中心店,19
青岛丽达购物中心店,72
东莞厚街康乐南店,56
福州东二环泰禾广场店,88
深圳机场T3出发5楼店,67
北京惠新东街咖啡店,64
上海崇明万达广场店,138
时代金融店,120
海口东方广场店,26
上海上南路店,87
贵阳梵华里店,17
丽江祥和商业广场店,25
天津白堤路店,196
重庆上海城店,15
茂名信宜东汇城店,16
开来欣悦购物广场,78
上海中环金鑫生活广场店,137
宁波北仑农商银行店,64
上海新场石笋里店,80
金辉广场,46
北京远洋天地店,70
兴梅路店,155
上海松江商城店,65
佛山季华园店,37
上海尚悦西广场店,102
扬州万科城彩虹汇店,122
宁波江北怡丰汇广场店,36
温州乐清南虹广场店,73
昆明汇都金格门店,25
宁波1872花园坊店,62
苏州昆山陆家南粮路店,132
杭州国大7F店,38
沈阳中山广场店,58
南京奥体中心店,145
南阳大统百货门店,66
武汉机场T3安检内西店,36
广州西城都荟店,60
合肥滨湖万达城店,28
宜兴万达店,133
温州5050购物中心店,42
苏州昆山和风雅颂店,120
武汉梦时代广场2,28
青岛上实中心店,41
嘉兴平湖八佰伴广场店,78
厦门中山路分店,20
广州滨江壹号店,44
国和路店,69
福州金山万科里分店,26
海口远大购物中心店,59
天津保利广场店,39
长春欧亚商都店,26
成都麓坊店,36
金华义乌吾悦广场店,91
尚品中心1F店,77
珠海正光广场店,101
宁波星悦城店,91
上海尚悦湾广场店,180
汤臣店,64
银川兴庆吾悦广场,13
成都双桥华联,26
成都天府水街店,43
苏州双湖邻里店,325
杭州千岛湖骑龙巷店,30
佛山顺德第一人民医院店,47
丽水新嬉里店,54
北京瀛海环宇坊,7
常德万达店,62
武汉华润桃源里店,44
西安科为城墅店,52
天津武清大光明店,37
西安鑫苑大都汇,28
石家庄勒泰中心2店,10
上海浙铁绿城桃源派店,127
成都机场四店,79
深圳中核大厦店,70
廊坊明珠大厦咖啡店,100
深圳宝安福城万达广场店,52
宁波慈溪书城店,50
广州西塔国金天地2店,59
西安长百精致荟店,26
武汉花园道店,59
无锡梁溪区小娄巷店,53
嘉兴海宁长安城市广场店,111
申亚时代广场店,84
上海金山亭林名悦广场店,45
嘉兴嘉善西塘花巷店,11
兰州市兰州中心门店,43
佛山大良嘉信城市广场店,63
郑州绿地新都会店,33
柳州五星乐和城分店,58
深圳达实大厦店,68
3号湾店,113
青岛海航万邦中心店,48
中银大厦店,106
合肥华润欢乐颂店,20
石家庄万达广场店,74
济南浪潮科技园店,21
北京世茂大厦店,39
武汉天地盛荟购物中心店,54
深圳布吉天虹店,73
荆州安良百货店,31
绍兴柯桥柯岩景区店,85
深圳布吉佳兆业店,125
青岛即墨宝龙城市广场店,21
宏慧新汇园店,122
北京五彩城第二咖啡店,33
渭南吾悦广场店,23
青岛中铁中心店,72
泰州兴化东方商厦店,119
星巴克臻选酒坊万象城店,30
安庆八佰伴店,17
广州增城万达广场分店,30
中山黄圃凯隆城店,28
广州东圃天银店,52
盐城建军路金鹰店,92
廊坊市燕郊明润广场店,16
无锡万达店,52
苏州狮山名门店,75
西安北客站1店,12
林奥City Park,155
桃源城市广场,18
廊坊嘉华港湾,56
武汉经开万达店,42
扬州高邮吾悦广场店,43
西安华阳城店,58
重庆万象城2店,29
济南银座店,49
北京远大路金源燕莎2店,8
长春中东新天地店,16
揭阳普宁万泰汇店,20
武汉1911店,24
西影Time,18
成都绿地伊藤广场店,46
成都铁建广场店,38
盐城中南城店,87
南通海门中南大有境店,65
包头市维多利摩尔城店,15
无锡红豆万花城店,63
广州萝岗敏捷广场店,79
宁波来福士B1层店,123
南京老门东店,62
泉州晋江新城吾悦广场分店,23
常州迪诺水镇店,92
中信保诚人寿大厦,132
青岛新业广场店,31
淄博茂业天地咖啡店,31
杭州运河亚运公园店,72
长春欧亚汇集门店,6
苏州太仓沙溪白云中路店,107
长春亚泰富苑店,23
远洋光华国际店,10
青岛胶东机场GTC店,20
贵阳亨特城市广场店,53
南京ITC MALL店,130
上海汇锦南翔中心店,54
北京望京东园店,38
赤峰市万悦城店,26
盐城新龙广场店,128
襄阳民发商业广场店,16
重庆约克郡公园店,23
石家庄乐汇城店,25
宜宾东方时代广场店,31
武汉帝斯曼店,61
无锡生命科学创新园店,69
广汇美术馆,29
北京英蓝国际店,16
济南万达店,42
无锡华润永乐万悦集店,42
成都环球西区店,15
成都天廊店,42
深圳石岩星城店,50
厦门吕岭路店,20
衢州新宏东方店,27
石家庄东胜商业广场店,7
汉口K11 2店,22
廊坊安次万达广场,26
溧阳高铁站店,72
福州阳光天地店,26
广州杨箕大街店,73
武汉平安金融中心店,110
北京新闻大厦店,40
杭州桐庐利时广场店,66
北京阜通东大街咖啡店,52
南翔五彩城店,114
人信汇,19
南昌王府井店,23
广州世贸服装城店,28
成都都江堰融创文旅城店,20
厦门演武路分店,48
佛山南海新都会店,49
东营东城万达广场店,40
云浮兴云东路店,10
广州科学城总部店,15
成都世茂广场店,27
无锡安镇润发购物中心店,75
长沙王府井店,53
G25建德服务北区店,32
江门汇悦城店,41
北京首都新机场9店,27
三亚红树林度假世界店,33
唐山迁安东安悦购城,9
苏州诚品店,48
自贡百盛店,59
天津东江道香年广场店,178
湘潭万达店,33
泰州泰兴黄桥大梦想城店,73
成都机场T1店,26
湛江金沙湾店,20
惠州华贸天地2楼店,30
南京苏宁总部大楼店,20
武汉奥山创意街区,33
重庆盛汇新世纪店,8
苏州石路店,99
大庆昆仑唐人店,12
苏州吴江华邦店,88
钦州湾分店,28
烟台新世界咖啡店,18
开封金明池开元广场店,29
东莞东城天骄峰景B区店,100
南京江北万象汇,70
天津富力又一城店,56
厦门海沧钟林里分店,20
晋江Smmall分店,75
清远先锋路世纪荟店,38
资阳万达广场,19
九江九方购物中心店,25
厦门罗宾森店,42
广州地铁植物园站店,18
苏州金逸影视中心店,55
淄博吾悦广场店,13
攀枝花万达广场店,23
镇江句容碧桂园欢乐城店,47
广州黄埔万达广场店,41
沈阳太原街苏宁广场店,8
重庆荣昌重百店,28
福州宜家分店,27
天津滨海MSD店,8
中山沙溪星宝时代店,20
桂林高新万达分店,23
星光68B馆,21
西宁城东吾悦广场店,6
成都阳光新业中心店,45
佛山创意产业园店,30
南京高淳富克斯店,67
北京朝阳门SOHO店,96
北京北辰西路店,12
西安宏府大厦店,25
广州琶洲环汇广场店,56
北京石景山中海大厦,113
盐城爱琴海购物公园店,55
武汉国贸新世界店,17
长春红旗街万达广场店,19
太原华宇国际精品咖啡店,23
西安伟业大厦店,31
汕尾海丰天虹购物中心店,65
中山古镇灯都时代广场店,17
南京江苏大剧院店,39
成都中山群光店,17
成都金牛天府艺术公园,28
长春国泰Rio Mal,17
济南舜泰广场店,32
兰州中海环宇城店,18
攀枝花银泰城,3
万宁华亚欢乐城店,12
天津巨川金海岸店,34
郑州朗悦公园茂店,58
沈阳中海环宇城店,12
潍坊寿光万达广场店,51
郑州龙湖锦艺城店,18
宿迁沭阳万达广场店,65
岳阳天虹百货店,24
西昌时代广场店,9
银川河东机场店,17
济宁贵和购物广场,88
宁波开元大酒店店,37
哈尔滨松雷店,7
赣州经开万达广场店,20
北京京东总部一期店,8
石家庄先天下2店,14
郑州东站出发层二店,8
济南银荷大厦店,24
重庆T3国内到达店,10
南京机场T2国内出发店,29
揭阳普宁流沙大道店,21
北京南站第一咖啡店,45
北京复兴门内店,98
东方万达广场店,9
青岛奥帆博物馆店,18
平原新区王府井奥莱平原,55
长春活力汇店,11
邯郸邯山万达广场店,24
北京润枫嘉尚,12
长春火车站店,6
天津火车站店,49
武汉阳逻万达,2
呼和浩特白塔国际机场2,4
北京亮马河大厦,15
郑州新郑机场安检内店,13
金华永康金品大厦店,188
沈阳百联购物中心店,52
申大厦店,76
宝山U天地店,89
宁波慈溪吉利汽车二店,67
七宝宝龙城南入口店,138
天津世纪都会店,44
来福士办公楼店,261
南京药谷活力源,84
天津和平大悦城店,49
北京世贸天阶店,6
美丽华花园店,121
沈阳长白大润发店,37
湖州织里吾悦广场店,41
柳州银泰城店,37
杭州滨江卓信大厦店,68
成都科甲店,15
陆家嘴世纪金融广场店,198
苏州吴江吾悦广场店,105
杭州滨江网新店,185
番禺路店,122
北京海润店,45
金华义乌锦都店,75
兰溪宝龙广场店,76
厦门集美IOI棕榈城分,42
杭州银泰店,84
上海虹桥火车站出发层2,106
深圳中国人寿大厦分店,69
广州高德置地秋广场店,89
中山广场店,111
香港名都店,77
杭州优盘时代店,225
长白山万达滑雪场度假区,58
嘉兴华润南湖天地店,65
杭州紫荆龙湖天街店,93
长沙步步高梅溪新天地店,58
湖州吾悦广场店,74
上海光大安石中心店,136
宁波天一开明街店,65
镇江句容吾悦广场店,64
南京九宜城店,192
杭州海威中心店,100
广州猎德大道东店,69
常熟美城广场店,251
淮安新亚百货店,66
上海北外滩来福士店,145
广州雪松控股大厦店,11
嘉兴桐乡新卉店,75
徐州新沂汉锦城店,41
凌空广场携程店,130
珠海高新宝龙广场店,30
上海嘉定上汽园区店,60
118广场店,94
航运金融大厦店,83
舟山定海海滨新天地店,45
重庆IFS店,51
徐州云龙万达广场店,53
新达汇三林店,158
张江创新园店,122
昆明滨江俊园店,39
南京仙林金鹰沿湖店,97
北京歌华大厦新址店,32
北京环球贸易中心店,75
广州天河区西塔店,64
苏州曼哈顿广场店,111
七莘路店,107
西安长安国际店,64
杭州蚂蚁A空间店,68
金外滩花园店,110
重庆财信广场店,35
金山欧尚店,133
星空广场店,85
佛山美的总部大楼店,149
成都火车东站店,79
嘉兴桐乡濮院蓝高中心店,66
成都华宇广场店,52
杭州西溪欢乐城店,152
深圳学府路店,86
滨江光合新座店,124
北京护国寺街咖啡店,38
杭州望江国际店,168
金杨第一商城店,90
杭州望江邻居中心店,73
南京新城科技园6号楼店,118
北京京投港店,45
北京通厦公元99店,50
台州东森店,118
宁波环球航运广场店,97
南京富邦华一银行店,85
苏州朗庭乐享汇店,90
上海会展中骏广场店,86
南京托乐嘉苏果店,105
静安大融城店,165
北京东北旺第二咖啡店,23
北京成寿寺路咖啡店,49
金华横店万盛街店,86
南京汉中环亚广场店,157
汇银大厦店,167
南翔太茂店,91
深圳大冲喜悦里店,93
德阳洋洋百货店,35
北京金隅嘉品店,59
上海东靖路店,79
惠州港惠店,66
杭州钱江世纪公园A1店,77
新华路店,91
金华万泰公园大道店,43
湖州南浔浙北店,74
杭州蓝钻天成店,93
苏州太仓滨江广场店,88
上海东方懿德城店,95
奉贤南桥百联店,184
成都市港汇天地店,41
又一城店,94
苏州常熟古里星光店,104
扬州R Mall店,146
武汉纽宾凯汉City店,40
达安广场店,62
深圳观澜湖新城店,82
森宏生活广场店,163
绿源天地广场店,85
沈阳北行千盛店,34
龙岩莲东北路分店,32
湖州状元街店,53
杭州千岛湖高铁站店,13
